State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
WY,1960,609.0,0.0,0.0,0.0,1211.1999999999969,35172.808880000004,0.0,0.0,198148.78372,776678.0,12.02,-23.68,2.91,23.72
WY,1961,633.0,0.0,0.0,0.0,1259.1999999999969,43948.63323,0.0,0.0,212402.49062,823234.6,14.67,-12.19,2.85,22.96
WY,1962,975.0,0.0,0.0,0.0,1307.1999999999969,44643.74803,0.0,0.0,223664.49021,787912.6,16.14,7.07,2.85,22.69
WY,1963,879.0,0.0,0.0,0.0,1353.0,54288.46588,0.0,0.0,228098.58886999998,837560.6,16.47,-3.7,2.91,22.9
WY,1964,874.0,0.0,0.0,0.0,1405.0,53888.77487000001,0.0,0.0,254085.63655999998,804761.6,16.66,-0.02,3.0,23.3
WY,1965,884.0,0.0,0.0,0.0,1448.0,56651.8562,0.0,0.0,257327.19835,802221.2,16.73,12.41,3.01,23.0
WY,1966,923.0,0.0,0.0,0.0,1509.0,63776.7829,0.0,0.0,265545.11938000005,779926.0,12.67,-13.51,3.1,23.01
WY,1967,789.0,0.0,0.0,0.0,1541.0,62351.79756,0.0,0.0,261936.95888000002,790609.6,19.14,13.41,3.12,22.53
WY,1968,959.0,0.0,0.0,0.0,1671.0,66539.86422999999,0.0,0.0,271109.56405,836650.0,16.69,12.0,3.18,21.99
WY,1969,1097.0,0.0,0.0,0.0,1801.0,79972.95774,0.0,0.0,331157.55954,898681.0,14.1,1.48,3.32,21.81
WY,1970,1006.0,0.0,0.0,0.0,1943.0,125502.97714,0.0,0.0,369348.19815,930001.0,16.41,7.84,3.39,21.04
WY,1971,1312.0,0.0,0.0,0.0,2100.0,139926.60924000002,0.0,0.0,413351.4532,859061.2,18.56,15.04,3.6,21.42
WY,1972,1172.0,0.0,0.0,0.0,2356.0,189905.36336,0.0,0.0,414918.60728,812063.8,16.96,12.15,3.6,20.74
WY,1973,1209.0,0.0,0.0,0.0,2844.0,275588.2395,0.0,0.0,394438.40903000004,823101.2,18.28,14.03,4.75,25.56
WY,1974,1411.0,0.0,0.0,0.0,3470.0,386138.0709300001,0.0,0.0,352221.03579,811982.6,12.92,-4.93,9.35,45.6
