Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
1960.0,69.0,0.0,0.0,0.0,,5518.0,0.0,0.0,927135.58842,622804.0,14.61,3.83,2.91,23.72
1961.0,52.0,0.0,0.0,0.0,,7707.0,0.0,0.0,916382.6315,652807.4,13.7,2.75,2.85,22.96
1962.0,64.0,0.0,0.0,0.0,,12664.0,0.0,0.0,933731.7256,634102.4,12.64,-2.66,2.85,22.69
1963.0,44.0,0.0,0.0,0.0,3030.0,36383.0,0.0,0.0,938100.91217,637657.8,11.3,-11.24,2.91,22.9
1964.0,9.0,0.0,0.0,0.0,3156.0,55539.0,0.0,0.0,1019732.1714299999,660405.4,10.16,-11.39,3.0,23.3
1965.0,43.0,0.0,0.0,0.0,3311.0,60084.0,0.0,0.0,1087602.52381,691162.8,15.3,3.17,3.01,23.0
1966.0,68.0,0.0,0.0,0.0,3452.0,51536.0,0.0,0.0,1158241.7684,720093.2,12.21,-4.89,3.1,23.01
1967.0,35.0,0.0,0.0,0.0,3514.0,64780.0,0.0,0.0,1238818.15632,731635.2,13.05,-8.48,3.12,22.53
1968.0,43.0,0.0,0.0,0.0,3806.0,64144.0,0.0,0.0,1351003.54925,745590.0,12.69,1.55,3.18,21.99
1969.0,64.0,0.0,0.0,0.0,4091.0,83636.0,0.0,0.0,1320774.3484399999,749516.6,16.65,6.47,3.32,21.81
1970.0,66.0,0.0,0.0,0.0,4431.0,137697.0,0.0,0.0,1321757.27036,743467.2,10.38,-8.21,3.39,21.04
1971.0,27.0,0.0,0.0,0.0,4822.0,152924.0,0.0,0.0,1361162.49115,686789.6,13.42,-5.52,3.6,21.42
1972.0,20.0,0.0,0.0,0.0,5406.0,154290.0,0.0,0.0,1414839.52633,641045.0,16.73,2.46,3.6,20.74
1973.0,65.0,0.0,0.0,0.0,6189.0,164714.0,0.0,0.0,1397971.6814899999,585718.8,12.02,8.84,4.75,25.56
1974.0,73.0,0.0,0.0,0.0,7116.0,168496.0,0.0,0.0,1418349.2713600001,572431.0,14.84,-1.49,9.35,45.6
1975.0,63.0,0.0,0.0,0.0,8098.0,157540.0,0.0,0.0,1390465.98865,551365.4,12.94,5.5,12.21,54.61
